"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"37037020103","Census Tract 201.03, Chatham County, North Carolina",4616,115729,2875,493,0,121,0,1012,62.3,10.7,0,2.6,0,21.9,37.7,1988,1672,316,84.1,15.9,82,1590,37,279,119,1869,4.9,11.7,6,"25% - 50% P.O.C.","$78000 or more"
"37037020104","Census Tract 201.04, Chatham County, North Carolina",5370,99811,4726,133,63,81,0,241,88,2.5,1.2,1.5,0,4.5,12,2587,2088,499,80.71,19.29,67,2021,8,491,75,2512,3.2,1.6,2.9,"Less than 25% P.O.C.","$78000 or more"
"37037020105","Census Tract 201.05, Chatham County, North Carolina",5516,103618,4345,122,0,293,21,495,78.8,2.2,0,5.3,0.4,9,21.2,2300,1907,393,82.91,17.09,76,1831,0,393,76,2224,4,0,3.3,"Less than 25% P.O.C.","$78000 or more"
"37037020106","Census Tract 201.06, Chatham County, North Carolina",4593,84853,3765,531,0,85,27,121,82,11.6,0,1.9,0.6,2.6,18,1796,1453,343,80.9,19.1,66,1387,38,305,104,1692,4.5,11.1,5.8,"Less than 25% P.O.C.","$78000 or more"
"37037020200","Census Tract 202, Chatham County, North Carolina",8788,75697,7129,855,0,8,0,283,81.1,9.7,0,0.1,0,3.2,18.9,3321,2542,779,76.54,23.46,219,2323,118,661,337,2984,8.6,15.1,10.1,"Less than 25% P.O.C.","$56000 - $78000"
"37037020300","Census Tract 203, Chatham County, North Carolina",2790,44563,1807,380,0,0,0,343,64.8,13.6,0,0,0,12.3,35.2,1046,750,296,71.7,28.3,48,702,7,289,55,991,6.4,2.4,5.3,"25% - 50% P.O.C.","$42000 - $56000"
"37037020401","Census Tract 204.01, Chatham County, North Carolina",6099,39375,2006,897,0,104,0,2831,32.9,14.7,0,1.7,0,46.4,67.1,2034,1365,669,67.11,32.89,291,1074,112,557,403,1631,21.3,16.7,19.8,"50% - 75% P.O.C.","Less than $42000"
"37037020402","Census Tract 204.02, Chatham County, North Carolina",4499,44470,1050,1107,0,0,0,1978,23.3,24.6,0,0,0,44,76.7,1590,670,920,42.14,57.86,59,611,112,808,171,1419,8.8,12.2,10.8,"75% or more P.O.C.","$42000 - $56000"
"37037020500","Census Tract 205, Chatham County, North Carolina",3626,49438,3088,369,0,0,0,169,85.2,10.2,0,0,0,4.7,14.8,1381,1086,295,78.64,21.36,48,1038,42,253,90,1291,4.4,14.2,6.5,"Less than 25% P.O.C.","$42000 - $56000"
"37037020600","Census Tract 206, Chatham County, North Carolina",5187,52431,3881,812,0,134,0,303,74.8,15.7,0,2.6,0,5.8,25.2,2092,1672,420,79.92,20.08,43,1629,50,370,93,1999,2.6,11.9,4.4,"25% - 50% P.O.C.","$42000 - $56000"
"37037020701","Census Tract 207.01, Chatham County, North Carolina",6970,87190,6215,294,0,91,0,135,89.2,4.2,0,1.3,0,1.9,10.8,3256,2558,698,78.56,21.44,58,2500,20,678,78,3178,2.3,2.9,2.4,"Less than 25% P.O.C.","$78000 or more"
