"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"01001","Autauga County, Alabama",55380,58731,41315,10524,140,573,5,1565,74.6,19,0.3,1,0,2.8,25.4,21397,15682,5715,73.29,26.71,1568,14114,553,5162,2121,19276,10,9.7,9.9,"25% - 50% P.O.C.","$52000 - $60000"
"01003","Baldwin County, Alabama",212830,58320,176803,19525,1391,1955,9,9711,83.1,9.2,0.7,0.9,0,4.6,16.9,80930,60896,20034,75.25,24.75,4508,56388,1633,18401,6141,74789,7.4,8.2,7.6,"Less than 25% P.O.C.","$52000 - $60000"
"01005","Barbour County, Alabama",25361,32525,11618,12031,74,121,1,1105,45.8,47.4,0.3,0.5,0,4.4,54.2,9345,5691,3654,60.9,39.1,352,5339,348,3306,700,8645,6.2,9.5,7.5,"50% - 75% P.O.C.","Less than $44000"
"01007","Bibb County, Alabama",22493,47542,16763,4981,30,27,0,579,74.5,22.1,0.1,0.1,0,2.6,25.5,6891,5128,1763,74.42,25.58,428,4700,134,1629,562,6329,8.3,7.6,8.2,"25% - 50% P.O.C.","$44000 - $52000"
"01009","Blount County, Alabama",57681,49358,50121,881,40,212,25,5342,86.9,1.5,0.1,0.4,0,9.3,13.1,20847,16423,4424,78.78,21.22,1663,14760,268,4156,1931,18916,10.1,6.1,9.3,"Less than 25% P.O.C.","$44000 - $52000"
"01011","Bullock County, Alabama",10248,37785,2191,7666,0,50,0,262,21.4,74.8,0,0.5,0,2.6,78.6,3521,2504,1017,71.12,28.88,105,2399,73,944,178,3343,4.2,7.2,5.1,"75% or more P.O.C.","Less than $44000"
"01013","Butler County, Alabama",19828,40688,10232,8928,11,69,0,277,51.6,45,0.1,0.3,0,1.4,48.4,6506,4551,1955,69.95,30.05,229,4322,134,1821,363,6143,5,6.9,5.6,"25% - 50% P.O.C.","Less than $44000"
"01015","Calhoun County, Alabama",114618,47255,82608,23682,220,1007,14,4352,72.1,20.7,0.2,0.9,0,3.8,27.9,44605,31254,13351,70.07,29.93,2300,28954,1285,12066,3585,41020,7.4,9.6,8,"25% - 50% P.O.C.","$44000 - $52000"
"01017","Chambers County, Alabama",33660,42289,18697,13316,112,376,0,800,55.5,39.6,0.3,1.1,0,2.4,44.5,13448,9072,4376,67.46,32.54,551,8521,418,3958,969,12479,6.1,9.6,7.2,"25% - 50% P.O.C.","Less than $44000"
"01019","Cherokee County, Alabama",25903,41919,23759,1191,280,64,0,413,91.7,4.6,1.1,0.2,0,1.6,8.3,10737,8304,2433,77.34,22.66,664,7640,141,2292,805,9932,8,5.8,7.5,"Less than 25% P.O.C.","Less than $44000"
"01021","Chilton County, Alabama",44055,47468,35302,4041,39,195,0,3457,80.1,9.2,0.1,0.4,0,7.8,19.9,16927,12610,4317,74.5,25.5,1017,11593,390,3927,1407,15520,8.1,9,8.3,"Less than 25% P.O.C.","$44000 - $52000"
"01023","Choctaw County, Alabama",12925,35892,7287,5500,8,17,0,53,56.4,42.6,0.1,0.1,0,0.4,43.6,5300,4288,1012,80.91,19.09,353,3935,73,939,426,4874,8.2,7.2,8,"25% - 50% P.O.C.","Less than $44000"
"01025","Clarke County, Alabama",24128,37404,12720,11044,26,104,0,79,52.7,45.8,0.1,0.4,0,0.3,47.3,9090,6372,2718,70.1,29.9,453,5919,124,2594,577,8513,7.1,4.6,6.3,"25% - 50% P.O.C.","Less than $44000"
"01027","Clay County, Alabama",13337,40845,10717,2068,0,21,0,419,80.4,15.5,0,0.2,0,3.1,19.6,5198,3922,1276,75.45,24.55,323,3599,75,1201,398,4800,8.2,5.9,7.7,"Less than 25% P.O.C.","Less than $44000"
"01029","Cleburne County, Alabama",14916,44741,13826,410,14,3,0,367,92.7,2.7,0.1,0,0,2.5,7.3,5680,4324,1356,76.13,23.87,346,3978,137,1219,483,5197,8,10.1,8.5,"Less than 25% P.O.C.","$44000 - $52000"
"01031","Coffee County, Alabama",51662,55637,36239,8680,601,745,0,3763,70.1,16.8,1.2,1.4,0,7.3,29.9,19924,13099,6825,65.74,34.26,1057,12042,662,6163,1719,18205,8.1,9.7,8.6,"25% - 50% P.O.C.","$52000 - $60000"
"01033","Colbert County, Alabama",54771,48065,42830,8809,319,259,51,1557,78.2,16.1,0.6,0.5,0.1,2.8,21.8,21880,15796,6084,72.19,27.81,1012,14784,281,5803,1293,20587,6.4,4.6,5.9,"Less than 25% P.O.C.","$44000 - $52000"
"01035","Conecuh County, Alabama",12394,37837,6203,5919,25,56,0,84,50,47.8,0.2,0.5,0,0.7,50,4553,3465,1088,76.1,23.9,176,3289,51,1037,227,4326,5.1,4.7,5,"50% - 75% P.O.C.","Less than $44000"
