"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"10001040100","Census Tract 401, Kent County, Delaware",7078,75194,5933,548,48,99,2,250,83.8,7.7,0.7,1.4,0,3.5,16.2,2657,2272,385,85.51,14.49,240,2032,32,353,272,2385,10.6,8.3,10.2,"Less than 25% P.O.C.","$72000 - $96000"
"10001040201","Census Tract 402.01, Kent County, Delaware",4736,54800,3111,1035,27,51,0,329,65.7,21.9,0.6,1.1,0,6.9,34.3,1814,1173,641,64.66,35.34,96,1077,29,612,125,1689,8.2,4.5,6.9,"25% - 50% P.O.C.","$51000 - $72000"
"10001040202","Census Tract 402.02, Kent County, Delaware",16940,74146,10615,4618,6,123,0,966,62.7,27.3,0,0.7,0,5.7,37.3,5944,5120,824,86.14,13.86,930,4190,0,824,930,5014,18.2,0,15.6,"25% - 50% P.O.C.","$72000 - $96000"
"10001040203","Census Tract 402.03, Kent County, Delaware",5443,66797,2986,1996,0,0,0,336,54.9,36.7,0,0,0,6.2,45.1,2010,1543,467,76.77,23.23,186,1357,19,448,205,1805,12.1,4.1,10.2,"25% - 50% P.O.C.","$51000 - $72000"
"10001040501","Census Tract 405.01, Kent County, Delaware",4501,47288,1918,1975,0,97,0,246,42.6,43.9,0,2.2,0,5.5,57.4,1883,1288,595,68.4,31.6,69,1219,85,510,154,1729,5.4,14.3,8.2,"50% - 75% P.O.C.","Less than $51000"
"10001040502","Census Tract 405.02, Kent County, Delaware",2402,52961,1225,783,0,46,0,222,51,32.6,0,1.9,0,9.2,49,945,708,237,74.92,25.08,42,666,28,209,70,875,5.9,11.8,7.4,"25% - 50% P.O.C.","$51000 - $72000"
"10001040700","Census Tract 407, Kent County, Delaware",4908,58815,2204,1677,168,216,0,527,44.9,34.2,3.4,4.4,0,10.7,55.1,1869,1127,742,60.3,39.7,62,1065,160,582,222,1647,5.5,21.6,11.9,"50% - 75% P.O.C.","$51000 - $72000"
"10001040900","Census Tract 409, Kent County, Delaware",2646,29566,1577,837,0,10,0,159,59.6,31.6,0,0.4,0,6,40.4,1117,343,774,30.71,69.29,0,343,0,774,0,1117,0,0,0,"25% - 50% P.O.C.","Less than $51000"
"10001041000","Census Tract 410, Kent County, Delaware",6559,45632,2476,2804,15,79,0,815,37.7,42.8,0.2,1.2,0,12.4,62.3,2861,1397,1464,48.83,51.17,191,1206,44,1420,235,2626,13.7,3,8.2,"50% - 75% P.O.C.","Less than $51000"
"10001041100","Census Tract 411, Kent County, Delaware",3920,43935,2699,391,35,12,5,693,68.9,10,0.9,0.3,0.1,17.7,31.1,1250,3,1247,0.24,99.76,0,3,225,1022,225,1025,0,18,18,"25% - 50% P.O.C.","Less than $51000"
