"GEOID","NAME","total_pop","median_hh_income","white","black","ai_an","asian","hi_pi","hisp_lat","pct_white","pct_black","pct_ai_an","pct_asian","pct_hi_pi","pct_hisp_lat","pct_poc","total_hh","total_hh_owner","total_hh_renter","pct_owners","pct_renters","total_owner_more_than_4","total_owner_less_than_4","total_renter_more_than_4","total_renter_less_than_4","total_hh_more_than_4","total_hh_less_than_4","pct_owner_more_than_4","pct_renter_more_than_4","pct_total_hh_more_than_4","poc_bin","income_bin"
"06001409700","Census Tract 4097, Alameda County, California",4991,47746,177,1598,0,94,17,2880,3.5,32,0,1.9,0.3,57.7,96.5,1577,527,1050,33.42,66.58,95,432,218,832,313,1264,18,20.8,19.8,"75% or more P.O.C.","Less than $80000"
"06001409800","Census Tract 4098, Alameda County, California",3516,86711,717,1944,10,150,0,440,20.4,55.3,0.3,4.3,0,12.5,79.6,1294,620,674,47.91,52.09,68,552,72,602,140,1154,11,10.7,10.8,"75% or more P.O.C.","$80000 - $108000"
"06001409900","Census Tract 4099, Alameda County, California",3642,114861,1046,1715,0,265,0,295,28.7,47.1,0,7.3,0,8.1,71.3,1423,1229,194,86.37,13.63,50,1179,11,183,61,1362,4.1,5.7,4.3,"50% - 75% P.O.C.","$108000 - $141000"
"06001410000","Census Tract 4100, Alameda County, California",3242,115268,935,1301,8,158,29,300,28.8,40.1,0.2,4.9,0.9,9.3,71.2,1227,1079,148,87.94,12.06,61,1018,0,148,61,1166,5.7,0,5,"50% - 75% P.O.C.","$108000 - $141000"
"06001410100","Census Tract 4101, Alameda County, California",2667,67159,330,1479,0,129,14,468,12.4,55.5,0,4.8,0.5,17.5,87.6,1100,644,456,58.55,41.45,28,616,6,450,34,1066,4.3,1.3,3.1,"75% or more P.O.C.","Less than $80000"
"06001410200","Census Tract 4102, Alameda County, California",3630,59282,53,2000,31,104,86,1279,1.5,55.1,0.9,2.9,2.4,35.2,98.5,1127,672,455,59.63,40.37,94,578,0,455,94,1033,14,0,8.3,"75% or more P.O.C.","Less than $80000"
"06001410300","Census Tract 4103, Alameda County, California",3857,50139,83,959,18,121,51,2527,2.2,24.9,0.5,3.1,1.3,65.5,97.8,1023,427,596,41.74,58.26,106,321,119,477,225,798,24.8,20,22,"75% or more P.O.C.","Less than $80000"
"06001410400","Census Tract 4104, Alameda County, California",4477,73996,286,1505,12,452,0,2136,6.4,33.6,0.3,10.1,0,47.7,93.6,1351,775,576,57.36,42.64,128,647,90,486,218,1133,16.5,15.6,16.1,"75% or more P.O.C.","Less than $80000"
"06001410500","Census Tract 4105, Alameda County, California",2705,31151,403,1652,7,294,24,266,14.9,61.1,0.3,10.9,0.9,9.8,85.1,925,124,801,13.41,86.59,19,105,91,710,110,815,15.3,11.4,11.9,"75% or more P.O.C.","Less than $80000"
"06001420100","Census Tract 4201, Alameda County, California",2440,139196,1506,11,10,512,0,192,61.7,0.5,0.4,21,0,7.9,38.3,891,637,254,71.49,28.51,11,626,29,225,40,851,1.7,11.4,4.5,"25% - 50% P.O.C.","$108000 - $141000"
"06001420200","Census Tract 4202, Alameda County, California",3332,97195,1183,186,18,1279,0,402,35.5,5.6,0.5,38.4,0,12.1,64.5,1256,492,764,39.17,60.83,72,420,38,726,110,1146,14.6,5,8.8,"50% - 75% P.O.C.","$80000 - $108000"
